date,bus,L
2001-01-01,295439,105608
2001-01-02,776862,419202
2001-01-03,820048,447997
2001-01-04,867675,459338
2001-01-05,887519,465940
2001-01-06,575407,213259
2001-01-07,374435,141828
2001-01-08,980660,493324
2001-01-09,974858,501006
2001-01-10,980656,502799
2001-01-11,992119,507352
2001-01-12,1015080,505472
2001-01-13,589814,225535
2001-01-14,371733,146018
2001-01-15,672871,344203
2001-01-16,1021198,519595
2001-01-17,1012748,518075
2001-01-18,1002714,516813
2001-01-19,906515,487599
2001-01-20,579657,220323
2001-01-21,376345,143734
2001-01-22,1002191,500064
2001-01-23,1016200,509731
2001-01-24,988028,506794
2001-01-25,998455,509334
2001-01-26,960735,498613
2001-01-27,588422,223883
2001-01-28,368261,145677
2001-01-29,948375,490272
2001-01-30,978576,507648
2001-01-31,995263,509861
2001-02-01,1052014,513837
2001-02-02,959733,482518
2001-02-03,610474,220154
2001-02-04,402946,148988
2001-02-05,1041383,501577
2001-02-06,1035846,511471
2001-02-07,1010576,508620
2001-02-08,1003567,509635
2001-02-09,967418,495535
2001-02-10,602308,226585
2001-02-11,403379,149332
2001-02-12,867566,450470
2001-02-13,1043867,520088
2001-02-14,993579,510244
2001-02-15,1017126,512212
2001-02-16,1027425,502270
2001-02-17,588913,224899
2001-02-18,386480,147699
2001-02-19,777809,382404
2001-02-20,1031101,509674
2001-02-21,982737,501197
2001-02-22,981743,506349
2001-02-23,1018168,503050
2001-02-24,499985,206109
2001-02-25,350677,143755
2001-02-26,1004090,508816
2001-02-27,979165,508857
2001-02-28,966692,509448
2001-03-01,1026181,516486
2001-03-02,1038759,510755
2001-03-03,675067,239507
2001-03-04,384786,148899
2001-03-05,860268,459127
2001-03-06,1009863,504060
2001-03-07,1024397,515004
2001-03-08,995763,510582
2001-03-09,1033706,506658
2001-03-10,629429,236555
2001-03-11,408271,157197
2001-03-12,974514,491780
2001-03-13,1012484,510562
2001-03-14,1021451,517302
2001-03-15,955376,498256
2001-03-16,920286,487188
2001-03-17,599571,287200
2001-03-18,410921,162232
2001-03-19,1017715,503148
2001-03-20,1029731,516402
2001-03-21,1023956,515086
2001-03-22,1027178,515964
2001-03-23,1024694,505767
2001-03-24,602228,231358
2001-03-25,347656,142594
2001-03-26,985002,487035
2001-03-27,1012309,501849
2001-03-28,1004869,502755
2001-03-29,1016159,505284
2001-03-30,974903,493071
2001-03-31,624058,234633
2001-04-01,415325,160946
2001-04-02,1017471,510354
2001-04-03,1052404,512772
2001-04-04,1043650,522255
2001-04-05,968648,506543
2001-04-06,1010929,510566
2001-04-07,640340,248848
2001-04-08,435761,167630
2001-04-09,995053,498094
2001-04-10,1020511,512202
2001-04-11,981185,506735
2001-04-12,989208,508344
2001-04-13,862101,440217
2001-04-14,626854,233613
2001-04-15,364321,136288
2001-04-16,856034,471533
2001-04-17,874178,487606
2001-04-18,903807,500752
2001-04-19,914973,498167
2001-04-20,918202,493285
2001-04-21,600223,245282
2001-04-22,381947,154941
2001-04-23,975179,493107
2001-04-24,1027294,516547
2001-04-25,974468,508975
2001-04-26,1022961,521644
2001-04-27,1027040,510041
2001-04-28,623225,241980
2001-04-29,421732,167030
2001-04-30,1003939,501440
2001-05-01,1063448,528642
2001-05-02,1030038,524381
2001-05-03,1060611,530142
2001-05-04,1040085,518696
2001-05-05,633907,256410
2001-05-06,415190,172415
2001-05-07,1002617,499698
2001-05-08,1040746,519128
2001-05-09,1038428,517728
2001-05-10,1015222,512834
2001-05-11,1000358,501332
2001-05-12,645104,241496
2001-05-13,420931,167860
2001-05-14,959352,485756
2001-05-15,1031606,528690
2001-05-16,992699,524451
2001-05-17,1000572,525206
2001-05-18,1020562,525162
2001-05-19,641341,263477
2001-05-20,424661,181977
2001-05-21,952841,492905
2001-05-22,1015290,532113
2001-05-23,975216,517501
2001-05-24,969785,514220
2001-05-25,983432,499325
2001-05-26,510245,224884
2001-05-27,388769,173883
2001-05-28,391499,160046
2001-05-29,997879,497223
2001-05-30,1000327,507301
2001-05-31,961593,503381
2001-06-01,1052112,510799
2001-06-02,615154,235687
2001-06-03,429918,171033
2001-06-04,1025005,500834
2001-06-05,929333,506139
2001-06-06,998969,524112
2001-06-07,1001578,539650
2001-06-08,1006672,536203
2001-06-09,636864,298992
2001-06-10,436487,202319
2001-06-11,905947,489611
2001-06-12,942098,505877
2001-06-13,907369,500346
2001-06-14,887343,503205
2001-06-15,908276,511928
2001-06-16,670506,284602
2001-06-17,420227,198332
2001-06-18,906672,493309
2001-06-19,939663,511966
2001-06-20,936049,511698
2001-06-21,898106,497809
2001-06-22,952779,523271
2001-06-23,629193,274317
2001-06-24,436924,235193
2001-06-25,942581,518629
2001-06-26,940808,530588
2001-06-27,940229,530311
2001-06-28,939817,510274
2001-06-29,992562,556695
2001-06-30,646583,303222
2001-07-01,433185,226367
2001-07-02,955155,524275
2001-07-03,983589,691223
2001-07-04,459300,255697
2001-07-05,916032,506576
2001-07-06,953359,537803
2001-07-07,595573,290107
2001-07-08,437073,213970
2001-07-09,931318,499109
2001-07-10,933752,509495
2001-07-11,957893,513023
2001-07-12,945461,531348
2001-07-13,949501,535530
2001-07-14,626851,278407
2001-07-15,417937,201960
2001-07-16,875946,520845
2001-07-17,916842,522749
2001-07-18,930205,511746
2001-07-19,944624,516495
2001-07-20,932083,509952
2001-07-21,591150,255100
2001-07-22,378138,167424
2001-07-23,850854,479944
2001-07-24,934894,526769
2001-07-25,871204,511564
2001-07-26,950898,531714
2001-07-27,930490,529885
2001-07-28,603728,298854
2001-07-29,430434,197441
2001-07-30,905021,489457
2001-07-31,880333,498164
2001-08-01,866920,511720
2001-08-02,787107,458800
2001-08-03,979868,503929
2001-08-04,644354,266733
2001-08-05,450354,188051
2001-08-06,902341,489326
2001-08-07,869970,509939
2001-08-08,849418,497881
2001-08-09,841434,502958
2001-08-10,940336,522913
2001-08-11,604085,269869
2001-08-12,418626,195440
2001-08-13,889702,477467
2001-08-14,863896,499431
2001-08-15,875505,487893
2001-08-16,798214,485554
2001-08-17,926053,499865
2001-08-18,566767,248012
2001-08-19,437708,196962
2001-08-20,871796,506181
2001-08-21,887718,507969
2001-08-22,859449,500382
2001-08-23,899857,511621
2001-08-24,920056,517184
2001-08-25,514431,242714
2001-08-26,436729,204622
2001-08-27,896917,493443
2001-08-28,929418,524914
2001-08-29,897035,522235
2001-08-30,908394,515320
2001-08-31,981000,515264
2001-09-01,637666,266994
2001-09-02,467016,203374
2001-09-03,443923,178373
2001-09-04,1116366,522499
2001-09-05,1044028,538625
2001-09-06,1049702,538472
